n;nombre;unidad_medida;precio_unitario;saldo_inicial;entradas;salidas;saldo_final
175;LIBRO HOSPITALARIO N32;PZA;121,8;5;5;5;5
176;LIBRO HOSPITALARIO N33;PZA;121,8;7;0;3;4
177;LIBRO HOSPITALARIO N34;PZA;121,8;6;0;0;6
178;LIBRO HOSPITALARIO N35;PZA;121,8;0;0;0;0
179;LIBRO HOSPITALARIO N4;PZA;106,93;7;0;7;0
180;LIBRO HOSPITALARIO N6;PZA;121,8;5;0;5;0
181;LIBRO HOSPITALARIO N7;PZA;100,27;0;0;0;0
182;LIBRO HOSPITALARIO N8;PZA;30,45;22;0;0;22
183;LIBRO HOSPITALARIO Nº 12 NEONATOLOGIA;PZA;169;0;0;0;0
184;LIBRO HOSPITALARIO Nº 5;PZA;139;23;0;19;4
185;LIBRO HOSPITALARIO SIN NUMERO (CONSULTAS ODONTOLOGICAS);PZA;121,8;0;0;0;0
186;LIBRO HOSPITALARIO SIN NUMERO (INYECCIONES, CURACIONES Y SUERO);PZA;121,8;0;0;0;0
187;LIBRO HOSPITALARIO TRAUMATOLOGIA;PZA;128;0;0;0;0
188;LOGOTIPO HOSPITAL ACRIILICO TRANSPARENTE DE 117 X 86 CM;PZA;500;0;0;0;0
189;FORM. NOTA DE ENFERMERIA;HOJA;0,28;0;0;0;0
190;ORDEN DE SALIDA CAMIONETA;BLOCK;10;0;0;0;0
191;ORDEN DE SALIDA COMBI;BLOCK;120;0;0;0;0
192;ORDEN DE SALIDA UTI;BLOCK;120;0;0;0;0
193;ORDEN SALIDA  AMBULANCIAS UTI;BLOCK;87,5;0;0;0;0
194;PAPEL COPIA MEMBRETADO T/CARTA;HOJA;0,14;0;5;5;0
195;PAPEL COPIA MEMBRETADO T/OFICIO;HOJA;0,15;0;5;5;0
196;PAPEL MEMBRETADO T/OFICIO;HOJA;28,9;0;0;0;0
197;PAPEL MEMORANDUM;HOJA;0,18;0;0;0;0
198;PRESTACIONES HOSPITALARIAS T/OFICIO;BLOCK;26,1;0;0;0;0
199;PRO-FORMA COTIZACION T/OFICIO;BLOCK;26,1;0;0;0;0
200;RECETARIO MEMBRETADO HOSPITAL  COREA;BLOCK;14,71;0;0;0;0
201;RECETARIO MEMBRETADO HOSPITAL GENERAL;BLOCK;15;47;0;0;47
202;RECETARIO PARA LENTES;BLOCK;55;26;0;0;26
203;REGISTRO CONTROL DE FILTROS DIARIOS STAT FAX 4500. AMBOS LADOS, TAMAÑO OFICIO COLOR BLANCO Y NEGRO, GRAMAJE: NACIONAL 75G/M2 20LB MEDIDA: 81/2X13(216MMX330MM). PQTE.X500HOJAS;PQTES;130;0;0;0;0
204;REGISTRO DE ACEPTACION Y RECHAZO (HEMATOLOGIA);HOJA;0,27;0;0;0;0
205;REGISTRO DE ÁREA HEMATÓLOGA LABORATORIO;BLOCK;21;0;0;0;0
206;REGISTRO DE CODIFICACIÓN Y APERTURA DE MUESTRAS LAB 15;HOJA;0,38;359;0;359;0
207;REGISTRO DE COPROPARASITOLOGIA LAB 21;HOJA;0,63;231;481;712;0
208;REGISTRO DE CRITERIOS DE ACEPTACIÓN Y RECHAZO LAB 10;HOJA;0,63;0;10;10;0
209;REGISTRO DE ENFERMERIA;HOJA;0,1;14;0;14;0
210;REGISTRO DE ENTREGA DE MUESTRAS LAB 24;HOJA;0,36;0;1;1;0
211;REGISTRO DE HORAS DE SIEMBRA LAB 13;HOJA;0,36;0;0;0;0
212;REGISTRO DE PACIENTES (SEROLOGIA) LAB 6;HOJA;0,36;0;0;0;0
213;REGISTRO DE PACIENTES ÁREA INMUNOLOGÍA-INFECCIOSOS. AMBOS LADOS, TAMAÑO OFICIO COLOR BLANCO Y NEGRO, GRAMAJE: 75G/M2 20LB MEDIDA: 81/2X13(216MMX330MM) (RAYADO). PQTE.X500HOJAS;PQTES;130;0;0;0;0
214;REGISTRO DE PACIENTES BACTERIOLOGÍA LAB 14;HOJA;0,19;0;0;0;0
215;REGISTRO DE PACIENTES DE HEMATOLOGÍA/QUÍMICA SANGUÍNEA/SEROLOGÍA. AMBOS LADOS, TAMAÑO OFICIO COLOR BLANCO Y NEGRO, GRAMAJE NACIONAL: 75G/M2 20LB MEDIDA: 81/2X13(216MMX330MM). PQTE.X500HOJAS;PQTES;130;0;0;0;0
216;REGISTRO DE PACIENTES Y VADILACION (COPROPARASITOLOGIA.);HOJA;0,27;0;0;0;0
217;REGISTRO DE PACIENTES Y VALIDACION (HEMATOLOGIA);HOJA;0,27;0;0;0;0
218;REGISTRO DE PACIENTES Y VALIDACION (IMNUNOLOGIA);HOJA;0,27;0;0;0;0
219;REGISTRO DE PACIENTES Y VALIDACIÓN (QUÍMICA SANGUINEA) LAB 5;HOJA;0,29;0;0;0;0
220;REGISTRO DE PACIENTES Y VALIDACION (QUIMICA SANGUINEA));HOJA;0,27;0;4;4;0
221;REGISTRO DE PACIENTES Y VALIDACIÓN DE RESULTADOS (QUÍMICA SANGUÍNEA). AMBOS LADOS, TAMAÑO OFICIO COLOR BLANCO Y NEGRO, GRAMAJE: 75G/M2 20LB MEDIDA: 81/2X13(216MMX330MM). PQTE.X500HOJAS;PQTES;130;0;0;0;0
222;REGISTRO DE PACIENTES Y VALIDACIÓN DE RESULTADOS ÁREA INMUNOLOGÍA HORMONAS. AMBOS LADOS, TAMAÑO OFICIO COLOR BLANCO Y NEGRO, GRAMAJE NACIONAL: 75G/M2 20LB MEDIDA: 81/2X13(216MMX330MM). PQTE.X500HOJAS;PQTES;130;0;5;5;0
223;REGISTRO DE PACIENTES Y VALIDACIÓN DE RESULTADOS DE INMUNOLOGÍA, CLIA. AMBOS LADOS, TAMAÑO OFICIO COLOR BLANCO Y NEGRO, GRAMAJE NACIONAL: 75G/M2 20LB MEDIDA: 81/2X13(216MMX330MM). PQTE.X500HOJAS;PQTES;130;0;0;0;0
224;REGISTRO DE RESULTADOS DE NUESTRA SARS COV 2 LAB 16;HOJA;0,38;0;0;0;0
225;REGISTRO DE RESULTADOS INMUNOLOGIA LAB 9;HOJA;0,29;0;0;0;0
226;REGISTRO DE UROANALISIS LAB 20;HOJA;0,36;0;0;0;0
227;REGISTRO KARDEX REACTIVOS LAB 22;HOJA;0,14;0;0;0;0
228;REGISTRO ORDENES PACIENTES INTERNADOS LABORATORIO;BLOCK;40;0;5;5;0
